id,user_name,post_message,timestamp_post,num_like_post,num_comment_post,num_share_post,label
947,c5cde478971855d4a451dceb1c026535,"Phượng oan!
Tiếp nối vụ cây phượng ngã đè học sinh tử vong là một số cây phượng khác cũng bật gốc ngã lăn đùng. Quan Thượng thư triệu tập thuộc hạ họp gấp để hỏi nguyên nhân. Các thuộc hạ nhao nhao đổ lỗi tại cây phượng là loại dễ bật gốc trong mùa mưa. Ngay lập tức, quan Thượng thư ra lệnh thuộc cấp soạn  chiếu chỉ để ban hành đến tất cả các cấp tỉnh thành trong cả nước lập tức chặt hạ tất cả những cây có tên là Phượng.
Cuộc họp kết thúc trong nỗi hân hoan tột độ vì họ cho rằng đã tìm ra nguyên nhân đích thực của tai nạn chết học sinh gây bàng hoàng dư luận!!!
Hàng loạt Phượng từ già để trẻ trên cả nước bị đốn hạ không thương tiếc bởi một chiến dịch mang tên ""tìm diệt Phượng"". Phượng đau đớn với nỗi đau câm nín không thể thốt thành lời. Những người đã trải qua quãng đời học sinh có chút lương tri và trí tuệ phi XHCN cũng tiếc thương cho Phượng. Lỗi đâu phải do Phượng gây ra mà do tư duy ""ăn xổi ở thì"" của con người mới xhcn trồng cây cổ thụ làm Phượng không kịp ra rể nên bị bật gốc đè người. Phượng phải trải qua những đau đớn khi em đang phơi phới tốt tươi bị người ta đánh gốc hốt dời đi nơi khác. Nay con người xhcn lại trút giận lên đầu Phượng rồi tàn sát không kể Phượng già hay trẻ thơ.
Ôi còn đâu, ""Những chiếc giỏ xe chở đầy hoa phượng. Em chở mùa hè của anh đi đâu""?
Còn đâu, ""Chùm phượng vỹ em cầm là tuổi tôi 18. Mùa hè đến trường khắc nỗi nhớ lên cây..."".
Chặt hết cây phượng, sân trường trơ trụi, còn lại gì để lưu dấu kỷ niệm thời học sinh!",1590973671.0,124,60,10,1
691,444f029cdb4033b2447cb21df653731e,"Đố gì bằng được Saffron ?!.

Nhụy hoa 450 triệu VNĐ 1 kg có tác dụng chữa bách bệnh. Từ ung thư, xương khớp, sinh lí, thiếu máu, lão hóa ...",1589449016.0,3,0,1,1
1125,b19c1ca64d313f74e34865d58060b877,"Bố của bệnh nhân N.H.N (ở Hà Nội) và lái xe riêng của ông này đã có kết quả xét nghiệm âm tính với Covid-19.

Tại cuộc họp về phòng chống dịch Covid-19 diễn ra vào 18H chiều 7/3, bà Phạm Thu Xanh - Giám đốc Sở Y tế Hải Phòng thông tin, ông N.K.T - bố bệnh nhân N.H.N (ca nhiễm Covid-19 thứ 17 tại nước ta) và ông V.H.S- lái xe riêng của ông T. đã có kết quả xét nghiệm âm tính với Covid-19.

Trước đó, ngày 2/3, ông N.K.T đi từ Hải Phòng lên thăm con là N.H.N tại Hà Nội; ngày 4/3, ông N.K.T trở về Hải Phòng.

Tối 6/3, khi có thông tin N.H.N dương tính với Covid-19, Sở Y tế Hà Nội đã lập danh sách những người tiếp xúc gần với bệnh nhân, trong đó có ông T, hiện sinh sống tại thôn Phù Lưu, xã Phù Ninh, huyện Thủy Nguyên, Hải Phòng.

Tối 6/3, ngay khi có thông tin, chính quyền địa phương đã liên hệ với ông T. khi ông này và lái xe đang trên đường từ Hà Nội về Hải Phòng và đón ông tại Trạm Y tế xã Phù Ninh, dùng xe chuyên dụng đưa ông T. và lái xe vào Khoa Bệnh nhiệt đới, Bệnh viện Hữu nghị Việt Tiệp, đồng thời, cách ly những người tiếp xúc với ông T.

Trước đó, trong cuộc họp sáng 7/3, UBND thành phố Hải Phòng kết luận và ra thông báo khoanh vùng, cách ly thôn Phù Lưu, xã Phù Ninh, huyện Thủy Nguyên, nơi sinh sống của ông N.K.T và tổ dân phố Tân Lập (phường Tân Thành, quận Dương Kinh), nơi cư trú của 2 người đi cùng chuyến bay với N.H.N từ Anh về Nội Bài. Dự kiến, lệnh cách ly thôn Phù Lưu sẽ được dỡ bỏ.


    ",1583559932,,7,15.0,0
3832,0a0da0122568b4bfa9be419102802e20,"Nhật Bản hủy lễ hội hoa anh đào để ngăn chặn dịch Covid-19
Trước thềm thế vận hội Olympic Tokyo 2020, chính quyền Nhật Bản đã yêu cầu các tổ chức thể thao và văn hóa trên cả nước xem xét hoãn hoặc hủy bỏ các lễ hội lớn cho đến ngày 15/3 . Cập nhật tin tức nhanh như chớp từ các kênh chính thống tại Lá chắn Virus Corona:
<URL>

➡️ Tải app Lotus để update tin nóng từng giây, dẫn nguồn tin cậy về Corona tại:
<URL>

#LaChanVirusCorona #Lotus #VCCorp #ICT_anti_nCoV",1583136944,256,1,14.0,0
645,c9c7d647080cbaba527dfe7a90dad56e,"Sáng 30/3, cụ Nguyễn Văn Thái (89 tuổi, trú ở thôn Bắc Tiến, xã Thạch Ngọc, huyện Thạch Hà, Hà Tĩnh) đã một mình đạp xe đến địa điểm cách ly của xã xin được ủng hộ tiền chống dịch Covid-19. Nhận được số hàng ủng hộ: 1kg gạo (túi nhỏ màu đen), 1 quả bầu, 1 bó rau muống, 1 túi rau vặt và 20 nghìn đồng của cụ ông này khiến cho các cán bộ và người dân ở đây vô cùng xúc động. Cụ Thái vui vẻ cho biết, hàng ngày được nghe truyền thanh xã, xem ti vi đều phát đi thông điệp cả nước đan...g chung tay chống dịch Covid-19. Mặc dù tuổi cao, sức yếu nhưng cụ vẫn muốn đóng góp một phần nhỏ bé của mình, và cũng để làm gương khích lệ con cháu cùng chung tay hành động bằng những việc làm cụ thể. ______________________ Theo CafeF Xem thêm",1585560714.0,24000,817,3100,0
618,a5d03a52edd3dd3e17f48ce15fbfea45,"# **Em thề là em không hề nịnh bợ anh Lê Minh Trí nhưng! **
# **TRONG CON MẮT CỦA CÁ NHÂN EM, QUA VỤ ÁN HỒ DUY HẢI ĐẾN THỜI ĐIỂM HIỆN NAY.  KHÔNG PHẢI LÀ ÔNG NGUYỄN HÒA BÌNH CHÁNH TÒA ÁN NHÂN DÂN TỐI CAO MÀ LÀ ANH LÊ MINH TRÍ VIỆN TRƯỞNG VIỆN KIỂM SÁT NHÂN DÂN TỐI CÁO MỚI LÀ BIỂU TƯỢNG CỦA CÔNG LÝ. TẤT NHIÊN EM VẪN ỦNG HỘ DỰ ÁN XÂY TƯỢNG ""BÁN THÂN"" CHO NGUYÊN CHÁNH TÒA ÁN NHÂN DÂN TỐI CAO, THẬM CHÍ EM ĐỀ XUẤT NẾU CÓ THỂ TA NÊN BỔ SUNG VÀO ĐỀ ÁN XÂY CẢ ""BÁN THÂN' CHO NGUYÊN PHÓ CHÁNH TÒA ÁN NHÂN DÂN TỐI CAO THỜI KỲ NÀY.**
# **""Chưa có chứng cứ trực tiếp khẳng định có việc giết người hay không""**
# Trả lời các ý kiến về vụ án Hồ Duy Hải mà các cử tri quan tâm, ông Lê Minh Trí cho biết, về thẩm quyền, Viện trưởng trong quá trình xem xét sự việc, thấy nhiều chứng cứ trong vụ án còn mâu thuẫn, chưa được xác minh làm rõ, và căn cứ bộ luật tố tụng hình sự, khi có những dấu hiệu như thế là căn cứ để viện kiểm sát kháng nghị xem xét lại vụ án.
# ""Viện kiểm sát kháng nghị không nói Hồ Duy Hải có tội hay không tội, nhưng thấy vụ án có nhiều sai sót về thủ tục tố tụng và chứng cứ chứng minh chưa chặt chẽ, còn mâu thuẫn, mâu thuẫn giữa hiện trường, lời khai... nên yêu cầu kháng nghị hủy các bản án sơ thẩm, phúc thẩm để điều tra lại nhằm khẳng định có tội hay không một cách thận trọng, khách quan, và đảm bảo bảo vệ được tính mạng con người khi chưa có một chứng cứ trực tiếp khẳng định có việc giết người hay không?"", ông Lê Minh Trí nêu.
# Về mặt trách nhiệm và thẩm quyền, ông Lê Minh Trí khẳng định viện kiểm sát chắc chắn kháng nghị có căn cứ, đúng thẩm quyền và đúng pháp luật.
# ""Đến nay, Viện trưởng đã ký văn bản báo cáo cấp thẩm quyền để xem xét và xử lý nên sẽ không có ý kiến gì hơn. Chỉ khẳng định Viện trưởng kháng nghị là thực thi trách nhiệm với nhân dân, thực thi pháp luật và hiến pháp. Viện trưởng tin rằng đang làm đúng với trách nhiệm của mình"", ông Lê Minh Trí nhấn mạnh.

[<URL>](<URL>)",1589776133.0,115,25,16,0
3662,6a0f13a226453d5eea941ca79b71e333,"[<URL>](<URL>)

Thời tiết quá nắng nóng, người dân phải tìm đủ mọi cách để giải nhiệt. Thả diều và lui tới các khu vui chơi, bãi đất trống nhiều gió là sự lựa chọn của không ít người.",1590065390.0,5,5,1,0
3218,036025f7d10eca014ada255dcf2a39aa,"“Chủ tịch UBND thành phố đã có quyết định kỷ luật với hình thức khiến trách đối với bà Nguyễn Thị Thanh Mỹ, Phó giám đốc Sở Tài nguyên Môi trường <URL> Lý do kỷ luật liên quan tới nội dung văn bản hỏa táng trong thời gian diễn ra dịch Covid-19...”",1587739442.0,42,13,2,0
2041,8ff17bd74ba026f592d5ee964a26d722,"Cộng đồng mạng đang kêu gọi 27 khách hạng thương gia ngồi cùng chuyến bay với bệnh nhân nhiễm Covid-19 thứ 17 của Việt Nam chủ động đến gặp cơ quan y tế cách ly để bảo đảm sức khỏe cộng đồng.
#doisong #cáchly #tiếpxúcvớingườibệnh #Covid_19 #coronavirus",1583547047,604,14,97.0,0
1398,99ed0ae1e3149e05968a0b27b4317f1d,"Cách ly toàn xã hội: Hà Nội quy định rõ những trường hợp được ra khỏi nhà

Yêu cầu mọi người dân ở tại nhà, chỉ ra ngoài trong trường hợp thật sự cần thiết như mua lương thực, thực phẩm, thuốc men, cấp cứu, làm việc tại nhà máy, cơ sở sản xuất, cơ sở kinh doanh dịch vụ, hàng hóa thiết yếu không bị đóng cửa, dừng hoạt động và các trường hợp khẩn cấp khác; thực hiện nghiêm việc giữ khoảng cách tối thiểu 2m khi giao tiếp; không tập trung quá 2 người ngoài phạm vi công sở, trường học, bệnh viện và tại nơi công cộng.",1585675117,7,0,0.0,0
